Course,Curricular Unit
Tecnologias Digitais e Inteligência Artificial,Algoritmia e Estrutura de Dados
Tecnologias Digitais e Inteligência Artificial,Fundamentos de Programação
Tecnologias Digitais e Inteligência Artificial,Trabalho Organizações e Tecnologia
Tecnologias Digitais e Inteligência Artificial,Planeamento e Gestão de Projetos
Tecnologias Digitais e Inteligência Artificial,Estatística e Probabilidades
Tecnologias Digitais e Inteligência Artificial,Complementos de Matemática Aplicada
Tecnologias Digitais e Inteligência Artificial,Matemática Aplicada
Tecnologias Digitais e Inteligência Artificial,Fundamentos de Análise de Dados
Tecnologias Digitais e Inteligência Artificial,Inteligência Artificial
Tecnologias Digitais e Inteligência Artificial,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais e Inteligência Artificial,Introdução ao Design Thinking
Tecnologias Digitais e Inteligência Artificial,Trabalho Académico com Inteligência Artificial
Tecnologias Digitais e Inteligência Artificial,Programação Orientada para Objectos
Tecnologias Digitais e Inteligência Artificial,Empreendedorismo e Inovação I
Tecnologias Digitais e Inteligência Artificial,Empreendedorismo e Inovação II
Tecnologias Digitais e Inteligência Artificial,Projetos em Ambientes Web e Cloud
Tecnologias Digitais e Inteligência Artificial,Programação e Análise de Dados em Excel
Tecnologias Digitais e Inteligência Artificial,Aprendizagem Automática Não Supervisionada
Tecnologias Digitais e Inteligência Artificial,Aprendizagem Automática Supervisionada
Tecnologias Digitais e Inteligência Artificial,Sistemas de Informação Analíticos
Tecnologias Digitais e Inteligência Artificial,Bases de Dados e Gestão de Informação
Tecnologias Digitais e Inteligência Artificial,Agentes Autónomos
Tecnologias Digitais e Inteligência Artificial,Algoritmos Avançados de Procura
Tecnologias Digitais e Inteligência Artificial,Projeto Aplicado de Inteligência Artificial II
Tecnologias Digitais e Inteligência Artificial,Projeto Aplicado de Inteligência Artificial I
Tecnologias Digitais e Inteligência Artificial,Big Data
Tecnologias Digitais e Inteligência Artificial,Tecnologia Economia e Sociedade
Tecnologias Digitais e Inteligência Artificial,Text Mining
Tecnologias Digitais e Segurança de Informação,Sistemas Operativos e Virtualização
Tecnologias Digitais e Segurança de Informação,Introdução às Redes de Computadores
Tecnologias Digitais e Segurança de Informação,Complementos de Matemática Aplicada
Tecnologias Digitais e Segurança de Informação,Fundamentos de Programação
Tecnologias Digitais e Segurança de Informação,Trabalho Organizações e Tecnologia
Tecnologias Digitais e Segurança de Informação,Introdução à Cibersegurança
Tecnologias Digitais e Segurança de Informação,Matemática Aplicada
Tecnologias Digitais e Segurança de Informação,Planeamento e Gestão de Projetos
Tecnologias Digitais e Segurança de Informação,Algoritmia e Estrutura de Dados
Tecnologias Digitais e Segurança de Informação,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais e Segurança de Informação,Introdução ao Design Thinking
Tecnologias Digitais e Segurança de Informação,Trabalho Académico com Inteligência Artificial
Tecnologias Digitais e Segurança de Informação,Bases de Dados e Segurança
Tecnologias Digitais e Segurança de Informação,Programação para a Internet
Tecnologias Digitais e Segurança de Informação,Estatística e Probabilidades
Tecnologias Digitais e Segurança de Informação,Segurança em Redes de Computadores
Tecnologias Digitais e Segurança de Informação,Criptografia Aplicada
Tecnologias Digitais e Segurança de Informação,Análise Forense Digital
Tecnologias Digitais e Segurança de Informação,Empreendedorismo e Inovação I
Tecnologias Digitais e Segurança de Informação,Sistemas Distribuídos e Segurança
Tecnologias Digitais e Segurança de Informação,Empreendedorismo e Inovação II
Tecnologias Digitais e Segurança de Informação,Ética e Legislação em Cibersegurança
Tecnologias Digitais e Segurança de Informação,Projeto Aplicado de Tecnologias Digitais e Segurança de Informação I
Tecnologias Digitais e Segurança de Informação,Segurança de Software e Aplicacional
Tecnologias Digitais e Segurança de Informação,Tecnologia Economia e Sociedade
Tecnologias Digitais e Segurança de Informação,Projeto Aplicado de Tecnologias Digitais e Segurança de Informação II
Tecnologias Digitais e Segurança de Informação,Auditoria de Segurança em Sistemas e Redes Digitais
Tecnologias Digitais e Segurança de Informação,Operações de Segurança e Gestão de Incidentes
Desenvolvimento de Software e Aplicações,Matemática Aplicada
Desenvolvimento de Software e Aplicações,Complementos de Matemática Aplicada
Desenvolvimento de Software e Aplicações,Algoritmia e Estrutura de Dados
Desenvolvimento de Software e Aplicações,Planeamento e Gestão de Projetos
Desenvolvimento de Software e Aplicações,Sistemas Operativos e Virtualização
Desenvolvimento de Software e Aplicações,Desenho Centrado no Utilizador
Desenvolvimento de Software e Aplicações,Introdução às Redes de Computadores
Desenvolvimento de Software e Aplicações,Fundamentos de Programação
Desenvolvimento de Software e Aplicações,Trabalho Organizações e Tecnologia
Desenvolvimento de Software e Aplicações,Introdução ao Design Thinking
Desenvolvimento de Software e Aplicações,Trabalho Académico com Inteligência Artificial
Desenvolvimento de Software e Aplicações,Apresentações em Público com Técnicas Teatrais
Desenvolvimento de Software e Aplicações,Desenvolvimento Ágil de Software
Desenvolvimento de Software e Aplicações,Programação para a Internet
Desenvolvimento de Software e Aplicações,Empreendedorismo e Inovação II
Desenvolvimento de Software e Aplicações,Desenvolvimento de Software para A Nuvem
Desenvolvimento de Software e Aplicações,Sistemas de Informação Analíticos
Desenvolvimento de Software e Aplicações,Bases de Dados e Gestão de Informação
Desenvolvimento de Software e Aplicações,Empreendedorismo e Inovação I
Desenvolvimento de Software e Aplicações,Estatística e Probabilidades
Desenvolvimento de Software e Aplicações,Programação Orientada para Objectos
Desenvolvimento de Software e Aplicações,Programação para Ciência dos Dados
Desenvolvimento de Software e Aplicações,Big Data
Desenvolvimento de Software e Aplicações,Projeto Aplicado de Software e Aplicações I
Desenvolvimento de Software e Aplicações,Introdução à Cibersegurança
Desenvolvimento de Software e Aplicações,Projeto Aplicado de Software e Aplicações II
Desenvolvimento de Software e Aplicações,Programação para Mobilidade
Desenvolvimento de Software e Aplicações,Tecnologia Economia e Sociedade
Matemática Aplicada e Tecnologias Digitais,Álgebra Linear e Aplicações
Matemática Aplicada e Tecnologias Digitais,Cálculo A uma Variável
Matemática Aplicada e Tecnologias Digitais,Fundamentos de Programação
Matemática Aplicada e Tecnologias Digitais,Trabalho Organizações e Tecnologia
Matemática Aplicada e Tecnologias Digitais,Cálculo A Múltiplas Variáveis
Matemática Aplicada e Tecnologias Digitais,Algoritmia e Estrutura de Dados
Matemática Aplicada e Tecnologias Digitais,Planeamento e Gestão de Projetos
Matemática Aplicada e Tecnologias Digitais,Álgebra Linear Numérica
Matemática Aplicada e Tecnologias Digitais,Fundamentos de Análise de Dados
Matemática Aplicada e Tecnologias Digitais,Trabalho Académico com Inteligência Artificial
Matemática Aplicada e Tecnologias Digitais,Apresentações em Público com Técnicas Teatrais
Matemática Aplicada e Tecnologias Digitais,Introdução ao Design Thinking
Matemática Aplicada e Tecnologias Digitais,Empreendedorismo e Inovação II
Matemática Aplicada e Tecnologias Digitais,Aprendizagem Automática Supervisionada
Matemática Aplicada e Tecnologias Digitais,Inteligência Artificial
Matemática Aplicada e Tecnologias Digitais,Otimização Matemática
Matemática Aplicada e Tecnologias Digitais,Análise Numérica
Matemática Aplicada e Tecnologias Digitais,Grafos e Redes Complexas
Matemática Aplicada e Tecnologias Digitais,Bases de Dados e Gestão de Informação
Matemática Aplicada e Tecnologias Digitais,Empreendedorismo e Inovação I
Matemática Aplicada e Tecnologias Digitais,Modelação Financeira
Matemática Aplicada e Tecnologias Digitais,Introdução à Estatística e Probabilidades
Matemática Aplicada e Tecnologias Digitais,Tomada de Decisão Apoiada em Dados
Matemática Aplicada e Tecnologias Digitais,Tecnologia Economia e Sociedade
Matemática Aplicada e Tecnologias Digitais,Matemática Computacional
Matemática Aplicada e Tecnologias Digitais,Processos Estocásticos e Simulação
Matemática Aplicada e Tecnologias Digitais,Projeto de Matemática Aplicada II
Matemática Aplicada e Tecnologias Digitais,Projeto de Matemática Aplicada I
Tecnologias Digitais e Automação,Cálculo
Tecnologias Digitais e Automação,Fundamentos de Análise de Dados
Tecnologias Digitais e Automação,Trabalho Organizações e Tecnologia
Tecnologias Digitais e Automação,Análise de Circuitos Elétricos
Tecnologias Digitais e Automação,Eletricidade e Mecânica
Tecnologias Digitais e Automação,Introdução à Estatística
Tecnologias Digitais e Automação,Álgebra Linear e Geometria
Tecnologias Digitais e Automação,Electrónica de Potência
Tecnologias Digitais e Automação,Planeamento e Gestão de Projetos
Tecnologias Digitais e Automação,Introdução ao Design Thinking
Tecnologias Digitais e Automação,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais e Automação,Trabalho Académico com Inteligência Artificial
Tecnologias Digitais e Automação,Micro-controladores
Tecnologias Digitais e Automação,Robótica e Automação Avançada
Tecnologias Digitais e Automação,Controlo de Qualidade e Visão Artificial
Tecnologias Digitais e Automação,Empreendedorismo e Inovação I
Tecnologias Digitais e Automação,Gestão e Sistemas de Informação Industrial
Tecnologias Digitais e Automação,Fundamentos de Programação
Tecnologias Digitais e Automação,Sensores Atuadores e Processamento de Sinal
Tecnologias Digitais e Automação,Empreendedorismo e Inovação II
Tecnologias Digitais e Automação,Instrumentação e Controlo Industrial
Tecnologias Digitais e Automação,Fundamentos de Automação
Tecnologias Digitais e Automação,Projeto Aplicado de Automação II
Tecnologias Digitais e Automação,Aprendizagem Automática Não Supervisionada
Tecnologias Digitais e Automação,Interação Pessoa-Máquina e Simulação
Tecnologias Digitais e Automação,Tecnologia Economia e Sociedade
Tecnologias Digitais e Automação,Redes Industriais e Supervisão
Tecnologias Digitais e Automação,Projeto Aplicado de Automação I
Tecnologias Digitais e Gestão,Planeamento e Gestão de Projetos
Tecnologias Digitais e Gestão,Cálculo
Tecnologias Digitais e Gestão,Trabalho Organizações e Tecnologia
Tecnologias Digitais e Gestão,Gestão de Pessoas na Era Digital
Tecnologias Digitais e Gestão,Fundamentos de Programação
Tecnologias Digitais e Gestão,Aplicações de Sistemas de Informação para a Gestão
Tecnologias Digitais e Gestão,Estatística e Probabilidades
Tecnologias Digitais e Gestão,Fundamentos de Gestão
Tecnologias Digitais e Gestão,Fundamentos de Análise de Dados
Tecnologias Digitais e Gestão,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais e Gestão,Trabalho Académico com Inteligência Artificial
Tecnologias Digitais e Gestão,Introdução ao Design Thinking
Tecnologias Digitais e Gestão,Logística no Comércio e na Indústria
Tecnologias Digitais e Gestão,Empreendedorismo e Inovação II
Tecnologias Digitais e Gestão,Estratégia Planeamento e Orçamentação
Tecnologias Digitais e Gestão,Gestão de Riscos na Era Digital
Tecnologias Digitais e Gestão,Métodos Analíticos Aplicados à Gestão
Tecnologias Digitais e Gestão,Gestão Fiscal
Tecnologias Digitais e Gestão,Gestão Comercial Vendas na Era Digital
Tecnologias Digitais e Gestão,Enquadramento Legal das Pessoas Coletivas
Tecnologias Digitais e Gestão,Empreendedorismo e Inovação I
Tecnologias Digitais e Gestão,Gestão de Investimentos
Tecnologias Digitais e Gestão,Tecnologia Economia e Sociedade
Tecnologias Digitais e Gestão,Monitorizar A Performance da Gestão
Tecnologias Digitais e Gestão,Finanças Empresariais e Gestão de Tesouraria
Tecnologias Digitais e Gestão,Empreendedorismo e Inovação III
Tecnologias Digitais e Gestão,Marketing Digital
Tecnologias Digitais e Gestão,Relatório Integrado
Tecnologias Digitais e Saúde,Trabalho Organizações e Tecnologia
Tecnologias Digitais e Saúde,Sistema de Saúde
Tecnologias Digitais e Saúde,Matemática Aplicada
Tecnologias Digitais e Saúde,Noções de Saúde Humana
Tecnologias Digitais e Saúde,Complementos de Matemática Aplicada
Tecnologias Digitais e Saúde,Psicologia Social da Saúde
Tecnologias Digitais e Saúde,Fundamentos de Programação
Tecnologias Digitais e Saúde,Planeamento e Gestão de Projetos
Tecnologias Digitais e Saúde,Algoritmia e Estrutura de Dados
Tecnologias Digitais e Saúde,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais e Saúde,Introdução ao Design Thinking
Tecnologias Digitais e Saúde,Trabalho Académico com Inteligência Artificial
